SIGLA;SERIE;SESSO;FASE;DESFASE;GIRONE;GRUPPO;SGRUPPO;GIORNATA;DATA;ORA;PARTITA;OSPITANTE;OSPITE;CAMPO;DENOMINAZIONE;CAP;VIA;COMUNE;PROVINCIA;SET1;SET2;PNT1_1;PNT2_1;PNT1_2;PNT2_2;PNT1_3;PNT2_3;PNT1_4;PNT2_4;PNT1_5;PNT2_5
2D/F;2^ Divisione - Femminile;F;1;FASE UNICA;F;0;0;1;10/12/2025 00:00:00;21.00;22660;G.S. CAGLIERO;NAPOCOLOR - VOLLEY CORMANO;1380;CENTRO SPORTIVO MURAT;20100;VIA MURAT 39;MILANO;;0;3;19;25;21;25;19;25;0;0;0;0
2D/F;2^ Divisione - Femminile;F;1;FASE UNICA;F;0;0;1;11/03/2026 00:00:00;21.15;22661;ASTRA PHOENIX;OSL VOLLEY GARBAGNATE;1842;OMNICOMPRENSIVO PARCO NORD (SUD 4);20092;VIA GORKY 100;CINISELLO BALSAMO;;3;1;25;19;25;23;20;25;25;18;0;0
2D/F;2^ Divisione - Femminile;F;1;FASE UNICA;F;0;0;1;10/12/2025 00:00:00;21.15;22662;ASPES VOLLEY CUS STATALE;SMARTSERVICE LIMBIATE VOLLEY;1339;PALESTRA SCOLASTICA EX ITC MATTIOLI;20090;VIA G. AMENDOLA;SEGRATE - ROVAGNASCO;;0;3;13;25;15;25;17;25;0;0;0;0
2D/F;2^ Divisione - Femminile;F;1;FASE UNICA;F;0;0;1;11/12/2025 00:00:00;21.00;22663;VERO VOLLEY NUMIA;VOLLEY ANGELS CUSANO ASD;1286;ORATORIO FEMMINILE SAN BIAGIO;20900;VIA L. MANARA 10;MONZA;;0;3;26;28;21;25;14;25;0;0;0;0
2D/F;2^ Divisione - Femminile;F;1;FASE UNICA;F;0;0;1;12/12/2025 00:00:00;21.15;22664;CALIMAN BRESSO;LOVVEY TEAM BLACK;2048;TENSOSTRUTTURA BRESSO;20091;VIA DON MINZONI 31;BRESSO;;3;0;25;20;26;24;25;15;0;0;0;0
2D/F;2^ Divisione - Femminile;F;1;FASE UNICA;F;0;0;1;29/01/2026 00:00:00;21.15;22665;GEAS VOLLEY ASD;GPB BOLLATE VOLLEY;1199;ISTITUTO ERASMO DA ROTTERDAM;20099;VIA CANTORE (ANG.V.LE ITALIA 409) 121;SESTO SAN GIOVANNI;;2;3;25;20;20;25;16;25;25;16;15;17
2D/F;2^ Divisione - Femminile;F;1;FASE UNICA;F;0;0;2;19/12/2025 00:00:00;21.15;22666;LOVVEY TEAM BLACK;GEAS VOLLEY ASD;1104;SCUOLA MEDIA T.CROCI;20037;VIA CHOPIN;PADERNO DUGNANO - CALDERARA;;0;3;17;25;10;25;15;25;0;0;0;0
2D/F;2^ Divisione - Femminile;F;1;FASE UNICA;F;0;0;2;19/12/2025 00:00:00;21.00;22667;VOLLEY ANGELS CUSANO ASD;CALIMAN BRESSO;1762;PALESTRA SAN GIOVANNI BOSCO;20095;VIA MORTELLA;CUSANO MILANINO;;3;1;25;27;25;20;25;19;25;19;0;0
2D/F;2^ Divisione - Femminile;F;1;FASE UNICA;F;0;0;2;17/12/2025 00:00:00;21.00;22668;SMARTSERVICE LIMBIATE VOLLEY;VERO VOLLEY NUMIA;1151;SCUOLA ELEMENTARE COLLODI;20812;VIA GIOTTO ANGOLO VIA GIAMBATTISTA TIEPOLO 6;LIMBIATE;;3;2;25;14;23;25;13;25;25;13;15;8
2D/F;2^ Divisione - Femminile;F;1;FASE UNICA;F;0;0;2;19/12/2025 00:00:00;21.15;22669;OSL VOLLEY GARBAGNATE;ASPES VOLLEY CUS STATALE;1427;SCUOLA MEDIA ORATORIO S. LUIGI;20024;VIA GRAN SASSO 15;GARBAGNATE MILANESE;;3;0;25;13;25;22;25;18;0;0;0;0
